wallet,total_unlocked_percentage
0x00000000e840ddf933e40d5379adfc7763a78ac5,5
0x00000030574508914bfd1ae2669fed278bbfb032,10
0x0000006094141cd5d88b13aa8845dc34e9b1c3a0,80
0x0000006616620615198f612c9022424df919db98,80
0x0000006c21964af0d420af8992851a30fa13c68b,80
0x0000007c60fab7a70c2ae0ebe437f3726b05e7eb,57.5
0x000000a679c2fb345ddefbae3c42bee92c0fb7a5,5
0x000000d803d0eff16c8f3663898524d3009bdbee,75
0x0000013fd54af5eab9c87b4bbc1f04b228dccaac,80
0x0000024bc043e565527f26318f7bb5dbae457a36,80
0x00000274d208d797f3fa90ed734578079db51a69,75
0x0000046b4edeb007123e0db9bc4d04247b9adc4a,5
0x000004ad77fb28b1661d7836d640add49aa2de66,80
0x00000578193cdb14e92e62c32813709ba76c2ef6,2.5
0x0000084397b6d03d925d3deeddea90edb4f073b4,52.5
0x0000088b98f3fee5e68eb9db27bd58fac9db21bd,5
0x000008b8724dbcc28649f3fe374222dd9c38cca5,70
0x0000090c1a5708bcc5f76f1870aca9f935290820,5
0x00000db9359c1f10e1bc9a5593edd87833a3a969,80
0x00000e4bf6f3dae376563eb196e61942296d75b5,80
0x0000145f93c4b595390de19fbb588702085bbcef,80
0x000071808ccb75a6fef19e5f1d3448049bf3c23e,80
0x000075ae72ba5c9d683acbb56d65037b682d4dd3,5
0x00007660d21c78b6db4ab872e31ddb793f9599e7,80
0x000095e6e590e466cae2b0d29e9d7cad5552b6ea,5
0x00009a4a89d8c1f558066ac0300df98d57779510,80
0x0000c01229cb2bdecf356a6e716a6e25c253a256,5
0x0000fa5b192c11e12e96ec2411b670b8508de5c3,20
0x000130f3c1a5543a2fc252d34449e8712f87b22e,80
0x00024eacb7936b04ba5e07eddfd7fe701e7c66e0,75
0x0002c7e053aaa2b69beeafd34d4cab124f45237d,70
0x0003a6dd755fbe1726294a6a7f113e8111a647cf,10
0x0003cf6745bae04c08a55286bcbe34efa6a283d3,70
0x0004035322c82ecda666a91b09fec7f929dc32ea,80
0x0004c5731e07768efca9bf88c1634c6d3dcb0346,75
0x000577b20c7d064bb86ac54e7f16ce0ebc1c62e9,75
0x0005ea2f24a72fac46f45e7bf8b77473d0e47772,10
0x000605535592ebbf9f3b9cfbd44a2fd16c1d645c,75
0x000650099f021c35bee08b74d0bdbf78fee22bad,75
0x000671ce76176e59b321b5d067bc1ef665a54c75,65
0x00067a23e7a94c5a1f2737d24f4b17fb5bce8168,50
0x00068b8374224f10ff18fd3b507384ef825b4957,80
0x00080c523f4ab5ebcb61345ac7a591b3a1de877f,10
0x00081ab0e17c8e2b0b2ca4deb985044679562a18,75
0x000898d5f11963082755400d94937f0dbad87f2f,50
0x0008cb4ec6c7c58439e74386c617d80dd8f0de67,10
0x0008fc6704b30a412192d128f9c7efd2fd720601,22.5
0x0009081585a0f11b1b1349943c49eaae180df42e,80
0x0009439e6285e25cf6924415c12878ef83a451d4,75
0x000a7b16ee86a3bd9c22eab66193cd8dca6bb88d,80
0x000a7fff22dad7107cd3ada11c7e1922f0e85e48,75
0x000aaea8a5091d58d8fe02bf20d66c8ba4e654af,75
0x000b40b988b9953c21fd292822aa3ee7aa9e79a5,80
0x000b6ef0108686d55ef3a27b83247a2981d80dda,35
0x000bafefbf7e162826996e00b38f1beb14798935,10
0x000bf5d617725353ebe6e1a1c07a8062e44fca0b,75
0x000c166e2d8bb02eec7894ab14ea6894b68d7c04,75
0x000c16e27e714232810566741bd3478693b6c69f,70
0x000d587a5cfde20a63afcf49130ad1f632d03285,75
0x000d675b0cd0962cc940475e30951d7d9392c255,27.5
0x000d69275827697713970a6aac26b69885a80a8b,75
0x000d6da8fd491896a70ea5a46a2da9038e714981,80
0x000dbf2733da51135c1b21c8ef71a3d474383f0d,0
0x000ddc0e1bbfd22d2f0909d4638fec62aafea106,75
0x000df8921b2f62749795aa9d017922e322a5388b,75
0x000e16e308a49c909b4195eeb18c9aebf8b8b4e6,2.5
0x000ea15150dc55c9b9bc5c320391f6af000de56d,70
0x000f7ca4c26d4bdcf3a1ec7778fd51909dfcbc70,5
0x000fe36cd351171189a2a058ebe37a3dbf66d89b,50
0x000ff14e62803a62a2c9a5683b97fbf277beff8d,70
0x00100a12cd75a127550189d2ecaf0deeb168f041,60
0x00109e4f23846ea3e7f25b701f1480ba76b19a71,12.5
0x0010c300dd5f96b86e0b605e6f503b434288fc7e,75
0x001238793481920d989b6788ef6adad8c231faf6,80
0x00126b666cbc04e17ae1aa2e7538593adbbf4eac,75
0x0012ad64abe5d68aa63128efe3f6ea3ad41b0ac3,50
0x00137510d26d30d59cd5c4cced3899b7b0243861,10
0x00138610e1179bc250c4fdb27a59ec0f07bec928,10
