wallet,total_xp
0x00000000e840ddf933e40d5379adfc7763a78ac5,20
0x00000030574508914bfd1ae2669fed278bbfb032,40
0x0000006094141cd5d88b13aa8845dc34e9b1c3a0,840
0x0000006616620615198f612c9022424df919db98,890
0x0000006c21964af0d420af8992851a30fa13c68b,1190
0x0000007c60fab7a70c2ae0ebe437f3726b05e7eb,690
0x000000a679c2fb345ddefbae3c42bee92c0fb7a5,20
0x000000d803d0eff16c8f3663898524d3009bdbee,700
0x0000013fd54af5eab9c87b4bbc1f04b228dccaac,700
0x0000024bc043e565527f26318f7bb5dbae457a36,720
0x00000274d208d797f3fa90ed734578079db51a69,720
0x0000046b4edeb007123e0db9bc4d04247b9adc4a,20
0x000004ad77fb28b1661d7836d640add49aa2de66,720
0x00000578193cdb14e92e62c32813709ba76c2ef6,60
0x0000084397b6d03d925d3deeddea90edb4f073b4,480
0x0000088b98f3fee5e68eb9db27bd58fac9db21bd,20
0x000008b8724dbcc28649f3fe374222dd9c38cca5,700
0x0000090c1a5708bcc5f76f1870aca9f935290820,20
0x00000db9359c1f10e1bc9a5593edd87833a3a969,1120
0x00000e4bf6f3dae376563eb196e61942296d75b5,1720
0x0000145f93c4b595390de19fbb588702085bbcef,880
0x000071808ccb75a6fef19e5f1d3448049bf3c23e,700
0x000075ae72ba5c9d683acbb56d65037b682d4dd3,40
0x00007660d21c78b6db4ab872e31ddb793f9599e7,880
0x000095e6e590e466cae2b0d29e9d7cad5552b6ea,20
0x00009a4a89d8c1f558066ac0300df98d57779510,1000
0x0000c01229cb2bdecf356a6e716a6e25c253a256,140
0x0000fa5b192c11e12e96ec2411b670b8508de5c3,100
0x000130f3c1a5543a2fc252d34449e8712f87b22e,720
0x0001b039841f2671310307820000bd5a760d68a2,60
0x0002060a7c2b43f06de68534f7c27b606729d26e,60
0x00024eacb7936b04ba5e07eddfd7fe701e7c66e0,780
0x0002c7e053aaa2b69beeafd34d4cab124f45237d,1190
0x0003a6dd755fbe1726294a6a7f113e8111a647cf,60
0x0003cf6745bae04c08a55286bcbe34efa6a283d3,820
0x0004035322c82ecda666a91b09fec7f929dc32ea,1080
0x00045e67a6e0c0462f29f7061ea8dfefb03b1a89,60
0x0004c5731e07768efca9bf88c1634c6d3dcb0346,790
0x0005041c0b5b8df958f024f114f24b1632787a6a,60
0x000577b20c7d064bb86ac54e7f16ce0ebc1c62e9,720
0x0005ea2f24a72fac46f45e7bf8b77473d0e47772,80
0x000605535592ebbf9f3b9cfbd44a2fd16c1d645c,700
0x000650099f021c35bee08b74d0bdbf78fee22bad,880
0x00066cbb84ddf8bb1e2cd88f37012dc7e82b431e,370
0x000671ce76176e59b321b5d067bc1ef665a54c75,1560
0x00067a23e7a94c5a1f2737d24f4b17fb5bce8168,370
0x00068b8374224f10ff18fd3b507384ef825b4957,1630
0x0006bbafd6b70a98d8c4ca90328707563ab327f0,60
0x0007322d2a469a2815ca8e2f9a99800ac94fee08,60
0x0007fd76ca6b660777fe1302d819942665d31de3,310
0x00080c523f4ab5ebcb61345ac7a591b3a1de877f,60
0x00081ab0e17c8e2b0b2ca4deb985044679562a18,700
0x000898d5f11963082755400d94937f0dbad87f2f,370
0x0008cb4ec6c7c58439e74386c617d80dd8f0de67,60
0x0008fc6704b30a412192d128f9c7efd2fd720601,370
0x0009081585a0f11b1b1349943c49eaae180df42e,760
0x0009439e6285e25cf6924415c12878ef83a451d4,700
0x000a7b16ee86a3bd9c22eab66193cd8dca6bb88d,720
0x000a7fff22dad7107cd3ada11c7e1922f0e85e48,1000
